Match Index,Query Index,Book Name,Sentence,Similarity Score
0,0,The Highly Sensitive Person,0 is a selfassess guid and howtol templat for peopl who feel relat process and notic more deepli than other and who frequent suffer from overstimul as a result scienc,1.0000005
4915,0,Designing Your Work Life,4961 is a help guidebook for anyon who want to creat and maintain a work environ that is both happi and product by work with what they alreadi have rather than keep on chang job in hope of find better mind,0.8345523
609,0,How to Raise an Adult,612 serv as a practic guid for all the parent who want to rais respons and independ adult but often catch themselv fall into the trap of over protect their children and actual inhibit their natur evolut and the grow up process relationship,0.82866734
2168,0,Multipliers,2188 explain the five type of peopl who inspir support and improv other in their organ show you how to becom one as well as avoid diminish the peopl who drag down other and make it harder for them to perform psycholog,0.8255398
5004,0,Boundaries,5054 explain with the help of modern psycholog and christian ideal how to improv your mental health and person growth by establish guidelin for selfcar that includ say no more often and stand firm in your decis rather than let peopl walk all over you mind,0.8244289
4953,0,10-Minute Toughness,4999 is a handson guid to becom the best version of yourself and achiev success through consist good practic such as eat right form meaning relationship commit to your goal publicli visual your achiev and mani other mind,0.82212937
5178,0,The In-Between,5228 is a remind to slow down and learn to appreci the littl moment in life like the time when were realli just wait for the next big thing as they shape our live a lot more than we think mind,0.81916153
4005,0,The Courage to Be Happy,4041 offer a handson guid to live a meaning life and let go of neg thought by compil the groundbreak theori of psychologist alfr adler with other valuabl research into an allinon book for becom a happi and fulfil person educ,0.8184942
1703,0,The 4-Hour Body,1720 is a complet guid to hack your health help you achiev anyth from rapid fat loss and quick muscl gain to better sleep sex and extrem athlet perform product,0.8175925
4291,0,12 Rules For Life,4330 is a storybas stern yet entertain selfhelp manual for young peopl lay out a set of simpl rule to help us becom more disciplin behav better act with integr and balanc our live while enjoy them as much as we can commun,0.814632
